state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Akwa Ibom State,2478000,Lexus LX 470 AWD 2000 Blue,Petrol,Automatic,Lexus,LX,2000,Nigerian Used,115540,4700
Lagos State,4160000,Toyota Corolla 2006 Red,Petrol,Automatic,Toyota,Corolla,2006,Foreign Used,105988,1800
Rivers State,1456000,Toyota Camry 2001 Gold,Petrol,Automatic,Toyota,Camry,2001,Nigerian Used,223019,2200
Abuja (FCT),4908750,Honda Accord 2013 Silver,Petrol,Automatic,Honda,Accord,2013,Nigerian Used,345800,2400
Imo State,1627500,Volvo S80 2.9 2000 Black,Petrol,Automatic,Volvo,S80,2000,Nigerian Used,306610,2900
Lagos State,3255000,Volkswagen Sharan 2005 Blue,Petrol,Automatic,Volkswagen,Sharan,2005,Foreign Used,190939,2000
Lagos State,4515000,BMW X6 2008 Black,Petrol,Automatic,BMW,X6,2008,Nigerian Used,170018,3000
Akwa Ibom State,3780000,Lexus RX 330 2004 Blue,Petrol,Automatic,Lexus,RX 330,2004,Nigerian Used,147006,3500
Lagos State,53550000,Porsche Panamera 2018 Black,Petrol,Automatic,Porsche,Panamera,2018,Foreign Used,84900,3000
Ondo State,7280000,Toyota Highlander Hybrid Limited 2008 Black,Hybrid,Automatic,Toyota,Highlander,2008,Nigerian Used,343437,3300
Abuja (FCT),31500000,Toyota Coaster 2013 White,Petrol,Manual,Toyota,Coaster,2013,Nigerian Used,378288,2700
Abuja (FCT),2288000,Honda Pilot 2005 Black,Petrol,Automatic,Honda,Pilot,2005,Nigerian Used,157057,3500
Delta State,3360000,Toyota Corolla 2009 Black,Petrol,Automatic,Toyota,Corolla,2009,Nigerian Used,168364,2400
Lagos State,6240000,Toyota Sienna 2011 Red,Petrol,Automatic,Toyota,Sienna,2011,Nigerian Used,343463,3500
Abuja (FCT),5250000,Toyota Camry 2010 Gray,Petrol,Automatic,Toyota,Camry,2010,Foreign Used,40898,2500
Lagos State,3391500,Toyota Camry 2011 White,Petrol,Automatic,Toyota,Camry,2011,Nigerian Used,184803,2500
Lagos State,1575000,Infiniti QX4 2001 Black,Petrol,Automatic,Infiniti,QX4,2001,Nigerian Used,198410,3500
Lagos State,6240000,Hyundai Elantra 2013 Gray,Petrol,Automatic,Hyundai,Elantra,2013,Nigerian Used,89814,1800
Lagos State,6300000,Kia Borrego EX V8 4x4 2009 Blue,Petrol,Automatic,Kia,Borrego,2009,Foreign Used,252803,3500
Lagos State,6760000,Toyota Highlander 2009 Gray,Petrol,Automatic,Toyota,Highlander,2009,Nigerian Used,164125,3500
Abuja (FCT),6510000,Nissan Xterra 2010 Silver,Petrol,Automatic,Nissan,Xterra,2010,Nigerian Used,116366,4000
Lagos State,3570000,Lexus IS 2006 Silver,Petrol,Automatic,Lexus,IS,2006,Foreign Used,267308,2500
Rivers State,2362500,Toyota Corolla 2005 Black,Petrol,Automatic,Toyota,Corolla,2005,Nigerian Used,297592,1800
Lagos State,3990000,Toyota Camry 2009 Black,Petrol,Automatic,Toyota,Camry,2009,Foreign Used,240013,2400
Lagos State,2310000,Honda Accord 2012 Black,Petrol,Automatic,Honda,Accord,2012,Nigerian Used,88274,2400
Abuja (FCT),2310000,Opel Astra 1999 Silver,Petrol,Automatic,Opel,Astra,1999,Nigerian Used,154401,1600
Lagos State,2080000,Acura MDX 2005 Gray,Petrol,Automatic,Acura,MDX,2005,Nigerian Used,107230,3500
Lagos State,3990000,Ford Edge 2011 Red,Petrol,Automatic,Ford,Edge,2011,Nigerian Used,175096,3500
Abuja (FCT),2835000,Toyota Corolla 2009 Red,Petrol,Automatic,Toyota,Corolla,2009,Nigerian Used,193348,1800
Lagos State,7280000,Toyota Camry 2012 Red,Petrol,Automatic,Toyota,Camry,2012,Foreign Used,292418,2500
Abuja (FCT),3120000,Honda Accord 2008 Black,Petrol,Automatic,Honda,Accord,2008,Nigerian Used,106425,2400
Lagos State,4725000,Lexus GS 2006 Silver,Petrol,Automatic,Lexus,GS,2006,Foreign Used,277683,3000
Oyo State,2444000,Toyota Corolla 2003 Silver,Petrol,Automatic,Toyota,Corolla,2003,Nigerian Used,132837,1800
Lagos State,1890000,Toyota Camry 2004 Green,Petrol,Automatic,Toyota,Camry,2004,Nigerian Used,370757,2400
Lagos State,3640000,Toyota Sienna 2004 Gold,Petrol,Automatic,Toyota,Sienna,2004,Nigerian Used,296837,3300
Kwara State,2100000,Volkswagen Polo 2001 Silver,Petrol,Manual,Volkswagen,Polo,2001,Foreign Used,296997,1400
Akwa Ibom State,1890000,Toyota Sienna CE 2001 White,Petrol,Automatic,Toyota,Sienna,2001,Nigerian Used,155894,3000
Imo State,2028000,Nissan Pathfinder SE 2007 Red,Petrol,Automatic,Nissan,Pathfinder,2007,Nigerian Used,21965,5600
Lagos State,4462500,Mazda Tribute 2009 Blue,Petrol,Automatic,Mazda,Tribute,2009,Foreign Used,173819,2500
Abuja (FCT),2500000,Honda Accord 2008 Gray,Petrol,Automatic,Honda,Accord,2008,Nigerian Used,139685,2400
Rivers State,2205000,Honda Pilot 2009 Green,Petrol,Automatic,Honda,Pilot,2009,Nigerian Used,184612,3500
Oyo State,2940000,Toyota Camry 2007 Red,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,238124,2400
Abuja (FCT),15750000,BMW X5 2014 Black,Petrol,Automatic,BMW,X5,2014,Nigerian Used,70493,3000
Rivers State,3150000,Toyota Camry 2012 Black,Petrol,Automatic,Toyota,Camry,2012,Nigerian Used,156139,2500
Lagos State,1890000,Acura MDX 2001 Silver,Petrol,Automatic,Acura,MDX,2001,Nigerian Used,419355,3500
Lagos State,3675000,Ford Edge 2014 Silver,Petrol,Automatic,Ford,Edge,2014,Nigerian Used,261791,2000
Lagos State,4725000,Mitsubishi L200 2015 White,Petrol,Manual,Mitsubishi,L200,2015,Nigerian Used,207670,3500
Lagos State,13832000,Toyota Highlander 2014 Gray,Petrol,Automatic,Toyota,Highlander,2014,Nigerian Used,94397,3500
Abuja (FCT),4680000,Toyota Camry 2007 Gold,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,96579,2400
Lagos State,2625000,Lexus ES 2004 Black,Petrol,Automatic,Lexus,ES,2004,Nigerian Used,92209,3300
Lagos State,8925000,Toyota Land Cruiser Prado 2012 Silver,Petrol,Automatic,Toyota,Land Cruiser Prado,2012,Nigerian Used,93086,2700
Kwara State,2940000,Toyota Camry 2009 Gray,Petrol,Automatic,Toyota,Camry,2009,Nigerian Used,288813,2400
Oyo State,1575000,Toyota Sienna 2000 Green,Petrol,Automatic,Toyota,Sienna,2000,Nigerian Used,213109,3000
Lagos State,2205000,Opel Zafira 2004 White,Petrol,Manual,Opel,Zafira,2004,Foreign Used,640834,1800
Abuja (FCT),1872000,Toyota Camry 2000 Silver,Petrol,Automatic,Toyota,Camry,2000,Nigerian Used,217549,2200
Lagos State,3224000,Ford Edge 2010 Silver,Petrol,Automatic,Ford,Edge,2010,Nigerian Used,254063,3500
Lagos State,4725000,Land Rover Range Rover 2011 Gray,Petrol,Automatic,Land Rover,Range Rover,2011,Nigerian Used,140884,5000
Rivers State,1942500,Toyota Camry 2003 Gray,Petrol,Automatic,Toyota,Camry,2003,Nigerian Used,136799,3000
Lagos State,1890000,Opel Zafira 1999 Blue,Petrol,Manual,Opel,Zafira,1999,Nigerian Used,250519,1600
Lagos State,2310000,Toyota Sequoia 2002 Black,Petrol,Automatic,Toyota,Sequoia,2002,Nigerian Used,195075,4700
Delta State,1575000,Kia Magentis 2006 Black,Petrol,Automatic,Kia,Magentis,2006,Nigerian Used,153158,2700
Lagos State,2835000,Land Rover Range Rover Vogue 2005 Black,Petrol,Automatic,Land Rover,Range Rover Vogue,2005,Nigerian Used,215730,4400
Lagos State,2310000,Toyota Matrix 2003 Blue,Petrol,Automatic,Toyota,Matrix,2003,Nigerian Used,135197,1800
Abuja (FCT),2047500,Chrysler Pacifica 2007 Blue,Petrol,Automatic,Chrysler,Pacifica,2007,Nigerian Used,204667,4000
Kaduna State,2250000,Peugeot 307 2004 Gold,Petrol,Automatic,Peugeot,307,2004,Nigerian Used,160932,2000
Lagos State,1785000,Honda Shuttle 1998 Green,Petrol,Automatic,Honda,Shuttle,1998,Nigerian Used,259206,
Oyo State,2184000,Toyota Camry 2002 Green,Petrol,Automatic,Toyota,Camry,2002,Nigerian Used,105017,2400
Abuja (FCT),2600000,Mercedes-Benz E350 2006 Gray,Petrol,Automatic,Mercedes-Benz,E350,2006,Nigerian Used,337995,3500
Kwara State,2730000,Toyota Camry 2007 Red,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,134038,2300
Lagos State,4935000,Toyota Highlander 2008 Silver,Petrol,Automatic,Toyota,Highlander,2008,Nigerian Used,139996,3500
Abuja (FCT),3360000,BMW 1 Series 2008 White,Petrol,Automatic,BMW,1 Series,2008,Nigerian Used,256074,3000
Lagos State,2100000,GMC Sierra 2000 Silver,Petrol,Automatic,GMC,Sierra,2000,Foreign Used,379863,4300
Lagos State,4160000,Toyota RAV4 2.4 2008 Silver,Petrol,Automatic,Toyota,RAV4,2008,Nigerian Used,211215,3500
Abuja (FCT),4515000,Mercedes-Benz B-Class 2002 Black,Petrol,Automatic,Mercedes-Benz,B-Class,2002,Foreign Used,128449,1700
Oyo State,3150000,Toyota RAV4 2007 Black,Petrol,Automatic,Toyota,RAV4,2007,Nigerian Used,97989,3500
Ondo State,2835000,Nissan Altima 2005 Green,Petrol,Automatic,Nissan,Altima,2005,Foreign Used,287809,2500
Lagos State,2378250,Opel Zafira 2003 Blue,Petrol,Manual,Opel,Zafira,2003,Foreign Used,273581,1600
Anambra State,2205000,Honda Accord Coupe LX-S Automatic 2010 Black,Petrol,Automatic,Honda,Accord,2010,Nigerian Used,18397,2400
Anambra State,2205000,Honda Accord Coupe LX-S Automatic 2010 Black,Petrol,Automatic,Honda,Accord,2010,Nigerian Used,18397,2400
Rivers State,1680000,Acura TSX Automatic 2004 Black,Petrol,Automatic,Acura,TSX,2004,Nigerian Used,234042,2400
Lagos State,3412500,Lexus IS 2007 Silver,Petrol,Automatic,Lexus,IS,2007,Nigerian Used,96358,2500
Lagos State,8925000,BMW 520i 2016 Gray,Petrol,Automatic,BMW,520i,2016,Nigerian Used,68673,2000
Abuja (FCT),4264000,Toyota Corolla 2006 Black,Petrol,Automatic,Toyota,Corolla,2006,Foreign Used,147350,1800
Lagos State,4725000,Toyota Sienna 2005 Silver,Petrol,Automatic,Toyota,Sienna,2005,Foreign Used,307667,3300
Lagos State,2625000,Ford Edge 2011 Black,Petrol,Automatic,Ford,Edge,2011,Nigerian Used,180154,3500
Lagos State,2704000,Toyota Camry 2005 Brown,Petrol,Automatic,Toyota,Camry,2005,Nigerian Used,263334,2400
Lagos State,14700000,Toyota Land Cruiser Prado 2015 Black,Petrol,Automatic,Toyota,Land Cruiser Prado,2015,Nigerian Used,171787,2700
Lagos State,3120000,Toyota Camry 2003 Gold,Petrol,Automatic,Toyota,Camry,2003,Nigerian Used,218332,2400
Abuja (FCT),4368000,Toyota Camry 2011 Gray,Petrol,Automatic,Toyota,Camry,2011,Nigerian Used,235378,2500
Lagos State,31500000,Jaguar F-Pace 2017 Black,Petrol,Automatic,Jaguar,F-Pace,2017,Foreign Used,165103,3000
Lagos State,11550000,Lexus RX 350 2015 White,Petrol,Automatic,Lexus,RX 350,2015,Nigerian Used,175110,3500
Abuja (FCT),5408000,Toyota Camry 2007 White,Petrol,Automatic,Toyota,Camry,2007,Foreign Used,109615,3500
Kwara State,2100000,BMW 328i 2000 Blue,Petrol,Automatic,BMW,328i,2000,Nigerian Used,297187,1900
Delta State,2310000,BMW 325i 2008 Gray,Petrol,Automatic,BMW,325i,2008,Nigerian Used,337792,3000
Lagos State,2600000,Lexus RX 300 2000 White,Petrol,Automatic,Lexus,RX 300,2000,Nigerian Used,324238,3000
Lagos State,1575000,Chrysler Town&Country 2001 Blue,Petrol,Automatic,Chrysler,Town&Country,2001,Nigerian Used,1,3300
Akwa Ibom State,4576000,Mercedes-Benz C350 2008 Black,Petrol,Automatic,Mercedes-Benz,C350,2008,Nigerian Used,114382,3500
Lagos State,2940000,Toyota Corolla 2008 Gray,Petrol,Automatic,Toyota,Corolla,2008,Foreign Used,237239,1800
Lagos State,2912000,Volvo XC90 2007 Silver,Petrol,Automatic,Volvo,XC90,2007,Nigerian Used,228947,3200
Lagos State,10395000,Toyota Highlander 2013 Gray,Petrol,Automatic,Toyota,Highlander,2013,Foreign Used,141218,3500
Lagos State,2782500,Mazda CX-7 2007 Gray,Petrol,Automatic,Mazda,CX-7,2007,Foreign Used,139948,2300
Lagos State,1575000,Toyota RAV4 2003 Green,Petrol,Automatic,Toyota,RAV4,2003,Nigerian Used,195790,2000
Rivers State,2310000,Honda Accord Sedan EX-L V-6 2011 Silver,Petrol,Automatic,Honda,Accord,2011,Nigerian Used,88003,3500
Kwara State,1522500,Nissan Sentra 2012 Silver,Petrol,Automatic,Nissan,Sentra,2012,Nigerian Used,159371,2000
Lagos State,3432000,Toyota Sienna 2005 Silver,Petrol,Automatic,Toyota,Sienna,2005,Nigerian Used,161948,3300
Ondo State,2205000,Toyota Camry 2005 Black,Petrol,Automatic,Toyota,Camry,2005,Nigerian Used,408856,2400
Oyo State,2310000,Toyota Sienna 2006 Blue,Petrol,Automatic,Toyota,Sienna,2006,Nigerian Used,357310,3500
Lagos State,1837500,Toyota Tacoma 2000 Green,Petrol,Automatic,Toyota,Tacoma,2000,Nigerian Used,211995,3400
Lagos State,6300000,Mercedes-Benz M Class 2009 Blue,Petrol,Automatic,Mercedes-Benz,M Class,2009,Foreign Used,96853,3500
Oyo State,1260000,Vauxhall Vivaro 2002 White,Petrol,Manual,Vauxhall,Vivaro,2002,Nigerian Used,2000,
Kaduna State,4410000,BMW 328i 2009 White,Petrol,Automatic,BMW,328i,2009,Foreign Used,156715,3000
Rivers State,2625000,Hyundai Sonata 2011 Gray,Petrol,Automatic,Hyundai,Sonata,2011,Nigerian Used,138982,2400
Lagos State,5880000,Hyundai Santa Fe 2015 Black,Petrol,Automatic,Hyundai,Santa Fe,2015,Nigerian Used,77814,2400
Lagos State,2310000,Lexus GS 2006 Blue,Petrol,Automatic,Lexus,GS,2006,Nigerian Used,296863,3000
Lagos State,6405000,Toyota Land Cruiser 2008 Black,Petrol,Automatic,Toyota,Land Cruiser,2008,Nigerian Used,281726,3500
Lagos State,5200000,Toyota Corolla 2010 Black,Petrol,Automatic,Toyota,Corolla,2010,Foreign Used,284322,1800
Rivers State,1711500,Toyota Matrix 2003 Gray,Petrol,Automatic,Toyota,Matrix,2003,Nigerian Used,264895,1800
Lagos State,3120000,Toyota Corolla 2003 Silver,Petrol,Automatic,Toyota,Corolla,2003,Nigerian Used,305021,1800
Lagos State,2887500,Toyota Tundra Automatic 2004 Silver,Petrol,Automatic,Toyota,Tundra,2004,Nigerian Used,94753,4200
Abuja (FCT),2205000,Hyundai Sonata 2009 Green,Petrol,Automatic,Hyundai,Sonata,2009,Nigerian Used,292608,2400
Lagos State,1911000,Lexus RX 300 2001 White,Petrol,Automatic,Lexus,RX 300,2001,Nigerian Used,469618,3000
Lagos State,4515000,Toyota Sienna 2010 Red,Petrol,Automatic,Toyota,Sienna,2010,Nigerian Used,163570,3500
Rivers State,1627500,Mazda 6 2005 Gray,Petrol,Manual,Mazda,6,2005,Foreign Used,155862,2000
Lagos State,4515000,Toyota Land Cruiser Prado 2007 Black,Petrol,Automatic,Toyota,Land Cruiser Prado,2007,Nigerian Used,214735,2700
Lagos State,2100000,Toyota Previa 2002 Red,Petrol,Automatic,Toyota,Previa,2002,Nigerian Used,689458,2400
Lagos State,4200000,Chevrolet Malibu 2009 Gray,Petrol,Automatic,Chevrolet,Malibu,2009,Foreign Used,74026754,36000
Lagos State,2677500,Ford Edge 2010 Gray,Petrol,Automatic,Ford,Edge,2010,Nigerian Used,109806,3500
Abuja (FCT),4160000,Honda Accord 2012 White,Petrol,Automatic,Honda,Accord,2012,Nigerian Used,132346,2400
Lagos State,2496000,Toyota Camry 2003 White,Petrol,Automatic,Toyota,Camry,2003,Nigerian Used,249990,2400
Lagos State,8295000,Toyota Venza 2009 Gray,Petrol,Automatic,Toyota,Venza,2009,Foreign Used,93908,2700
Lagos State,7980000,Toyota Sienna SE 8 Passenger 2012 Black,Petrol,Automatic,Toyota,Sienna,2012,Foreign Used,150543,3500
Lagos State,3432000,Toyota Sienna 2004 Red,Petrol,Automatic,Toyota,Sienna,2004,Nigerian Used,177844,3300
Abuja (FCT),6300000,BMW 328i 2015 Black,Petrol,Automatic,BMW,328i,2015,Nigerian Used,75339,2000
Lagos State,10500000,Mercedes-Benz S-Class 2010 Black,Petrol,Automatic,Mercedes-Benz,S-Class,2010,Nigerian Used,51828,5500
Lagos State,5040000,Kia Cerato 2015 Gray,Petrol,Automatic,Kia,Cerato,2015,Nigerian Used,30742,1800
Lagos State,2835000,Toyota Camry 2007 White,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,300961,2400
Ondo State,2100000,Toyota Corolla 2005 Red,Petrol,Automatic,Toyota,Corolla,2005,Nigerian Used,230985,1800
Lagos State,5200000,Mercedes-Benz E350 2007 Gray,Petrol,Automatic,Mercedes-Benz,E350,2007,Nigerian Used,240287,3500
Lagos State,4160000,Honda Accord 2008 Black,Petrol,Automatic,Honda,Accord,2008,Nigerian Used,161236,2400
Akwa Ibom State,2730000,Toyota Corolla 1.8 2008 Black,Petrol,Automatic,Toyota,Corolla,2008,Nigerian Used,178659,1800
Oyo State,2520000,Honda Accord 2008 White,Petrol,Automatic,Honda,Accord,2008,Nigerian Used,104146,2400
Akwa Ibom State,1785000,Toyota Sequoia 2003 Brown,Petrol,Automatic,Toyota,Sequoia,2003,Nigerian Used,280054,4700
Lagos State,2808000,Honda Accord 2009 Black,Petrol,Automatic,Honda,Accord,2009,Nigerian Used,285590,24000
Kwara State,3150000,Toyota Matrix 2010 Orange,Petrol,Automatic,Toyota,Matrix,2010,Nigerian Used,195389,2400
Lagos State,4725000,Toyota Avensis 2011 Blue,Petrol,Automatic,Toyota,Avensis,2011,Nigerian Used,489285,1800
Lagos State,17091375,Land Rover Range Rover Sport 2014 Black,Petrol,Automatic,Land Rover,Range Rover Sport,2014,Nigerian Used,118510,3000
Abuja (FCT),4992000,Lexus IS 250 2010 Red,Petrol,Automatic,Lexus,IS,2010,Nigerian Used,185642,3500
Abuja (FCT),2730000,Toyota Camry 2007 Red,Hybrid,Automatic,Toyota,Camry,2007,Nigerian Used,223760,2400
Lagos State,2940000,Toyota Camry 2007 Blue,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,198318,3500
Lagos State,8505000,Cadillac Escalade 2007 Gold,Petrol,Automatic,Cadillac,Escalade,2007,Foreign Used,220494,6200
Lagos State,2912000,Toyota RAV4 2004 Silver,Petrol,Automatic,Toyota,RAV4,2004,Nigerian Used,102348,2400
Lagos State,3675000,Toyota Camry 2011 Gold,Petrol,Automatic,Toyota,Camry,2011,Nigerian Used,255524,2500
Lagos State,1872000,Honda CR-V 2003 Silver,Petrol,Automatic,Honda,CR-V,2003,Nigerian Used,338642,2400
Lagos State,15750000,Mercedes-Benz GL-Class 2014 Gray,Petrol,Automatic,Mercedes-Benz,GL-Class,2014,Foreign Used,192866,4700
Abuja (FCT),5145000,Mercedes-Benz C300 2009 Silver,Petrol,Automatic,Mercedes-Benz,C300,2009,Foreign Used,213260,3000
Lagos State,3360000,Mercedes-Benz C300 2008 Black,Petrol,Automatic,Mercedes-Benz,C300,2008,Nigerian Used,164041,3000
Delta State,2205000,Hyundai Tucson 2005 Black,Petrol,Automatic,Hyundai,Tucson,2005,Nigerian Used,50864,2000
Lagos State,3675000,Honda Odyssey 2005 Blue,Petrol,Automatic,Honda,Odyssey,2005,Foreign Used,232822,3800
Lagos State,2184000,Mazda CX-7 2007 Red,Petrol,Automatic,Mazda,CX-7,2007,Nigerian Used,169451,2300
Abuja (FCT),2415000,Volkswagen Golf 2007 Green,Petrol,Manual,Volkswagen,Golf,2007,Nigerian Used,307452,2000
Lagos State,7675500,Toyota Sienna 2011 White,Petrol,Automatic,Toyota,Sienna,2011,Foreign Used,107859,3500
Lagos State,3150000,Lexus RX 330 2005 Black,Petrol,Automatic,Lexus,RX 330,2005,Nigerian Used,135908,3300
Abuja (FCT),2520000,Toyota Matrix 2008 Gray,Petrol,Automatic,Toyota,Matrix,2008,Nigerian Used,252915,1800
Lagos State,7280000,Toyota Camry 2016 Beige,Petrol,Automatic,Toyota,Camry,2016,Nigerian Used,199632,2500
Abuja (FCT),2520000,Mercedes-Benz E240 2002 Black,Petrol,Automatic,Mercedes-Benz,E240,2002,Nigerian Used,211089,2600
Lagos State,1575000,Ford Explorer 2007 Brown,Petrol,Automatic,Ford,Explorer,2007,Nigerian Used,135108,2000
Lagos State,3952000,Toyota Solara 2008 Blue,Petrol,Automatic,Toyota,Solara,2008,Foreign Used,122543,3300
Lagos State,1680000,Honda Pilot 2003 Black,Petrol,Automatic,Honda,Pilot,2003,Nigerian Used,365864,3500
Oyo State,3150000,Toyota Camry 2007 Blue,Petrol,Automatic,Toyota,Camry,2007,Nigerian Used,308529,2400
Lagos State,1470000,Acura MDX 2005 Black,Petrol,Automatic,Acura,MDX,2005,Nigerian Used,336665,3500
Kwara State,1560000,Toyota Camry 1999 Gray,Petrol,Automatic,Toyota,Camry,1999,Nigerian Used,381719,2400
Lagos State,3780000,Toyota Camry 2011 Red,Petrol,Automatic,Toyota,Camry,2011,Foreign Used,301728,2500
Lagos State,2100000,Toyota Matrix 2005 Silver,Petrol,Automatic,Toyota,Matrix,2005,Nigerian Used,276561,1800
Abuja (FCT),1575000,Nissan Altima 2000 Gray,Petrol,Automatic,Nissan,Altima,2000,Nigerian Used,191398,2400
Lagos State,25500000,Lexus RX 350 2016 Red,Petrol,Automatic,Lexus,RX 350,2016,Foreign Used,92276,3500
Abuja (FCT),1891048,Toyota 4-Runner 2003 Blue,Petrol,Automatic,Toyota,4-Runner,2003,Nigerian Used,179080,4700
Abuja (FCT),1837500,Honda Accord 2008 Black,Petrol,Automatic,Honda,Accord,2008,Nigerian Used,264589,3500
Lagos State,4725000,Toyota Venza AWD 2010 Blue,Petrol,Automatic,Toyota,Venza,2010,Nigerian Used,202694,2500
Lagos State,2835000,Nissan X-Trail 2006 Silver,Petrol,Automatic,Nissan,X-Trail,2006,Nigerian Used,253915,2400
Lagos State,2310000,Toyota Sienna 2004 Silver,Petrol,Automatic,Toyota,Sienna,2004,Nigerian Used,339554,3300
Lagos State,1984498,Ford Escape 2010 White,Petrol,Automatic,Ford,Escape,2010,Nigerian Used,123523,3800
Lagos State,2100000,Toyota Avanza 2006 Silver,Petrol,Automatic,Toyota,Avanza,2006,Nigerian Used,356135,1500
Lagos State,1732500,Lexus LS 2001 Silver,Petrol,Automatic,Lexus,LS,2001,Nigerian Used,85757,4300
Abuja (FCT),3045000,Kia Forte 2010 Silver,Petrol,Automatic,Kia,Forte,2010,Nigerian Used,282013,2000
Abuja (FCT),2100000,Toyota Corolla 2004 Silver,Petrol,Automatic,Toyota,Corolla,2004,Nigerian Used,299999,1800
Abuja (FCT),11550000,Mercedes-Benz S-Class S 550 2012 Silver,Petrol,Automatic,Mercedes-Benz,S-Class,2012,Nigerian Used,74903,4700
Lagos State,3675000,Toyota Tundra 2006 Green,Petrol,Automatic,Toyota,Tundra,2006,Nigerian Used,286486,4700
Ondo State,1417500,Toyota RAV4 2005 Black,Petrol,Automatic,Toyota,RAV4,2005,Nigerian Used,376413,2400
Lagos State,3150000,Toyota Corolla 2010 Silver,Petrol,Automatic,Toyota,Corolla,2010,Nigerian Used,238739,1800
Rivers State,1627500,Mercedes-Benz C320 2002 Silver,Petrol,Automatic,Mercedes-Benz,C320,2002,Nigerian Used,414520,3200
Lagos State,2625000,Nissan Sentra 2005 Black,Petrol,Automatic,Nissan,Sentra,2005,Nigerian Used,311803,1800
Oyo State,2992500,Mercedes-Benz C180 2001 Blue,Petrol,Automatic,Mercedes-Benz,C180,2001,Nigerian Used,135470,2400
Lagos State,14700000,Ford Mustang 2015 Red,Petrol,Automatic,Ford,Mustang,2015,Foreign Used,234424,2300
Kwara State,2080000,Hyundai Sonata 2007 Blue,Petrol,Automatic,Hyundai,Sonata,2007,Nigerian Used,279210,2700
Imo State,6783000,Lexus ES 350 2012 Black,Petrol,Automatic,Lexus,ES,2012,Foreign Used,116449,3500
Lagos State,4160000,Toyota Camry 2011 Green,Petrol,Automatic,Toyota,Camry,2011,Nigerian Used,42444,3500
Lagos State,1050000,Jeep Liberty 2002 Green,Petrol,Automatic,Jeep,Liberty,2002,Nigerian Used,208485,3700
Lagos State,7020000,Toyota Corolla 2013 Blue,Petrol,Automatic,Toyota,Corolla,2013,Foreign Used,122747,2400
Oyo State,2912000,Lexus ES 2004 Black,Petrol,Automatic,Lexus,ES,2004,Nigerian Used,297578,3500
Oyo State,3692000,Toyota Corolla 2010 Silver,Petrol,Automatic,Toyota,Corolla,2010,Nigerian Used,357307,2500
Lagos State,2625000,Toyota Corolla 2008 Silver,Petrol,Manual,Toyota,Corolla,2008,Nigerian Used,123252,2800
Abuja (FCT),1768000,Honda Accord 2006 Silver,Petrol,Automatic,Honda,Accord,2006,Nigerian Used,238711,2400
Oyo State,1365000,Honda Accord 2003 Gray,Petrol,Automatic,Honda,Accord,2003,Nigerian Used,264929,3000
Lagos State,2940000,Toyota Corolla 2009 Gray,Petrol,Automatic,Toyota,Corolla,2009,Nigerian Used,188936,1800
Abuja (FCT),2310000,Mercedes-Benz C240 2002 Red,Petrol,Automatic,Mercedes-Benz,C240,2002,Nigerian Used,2600,
Lagos State,5040000,Mercedes-Benz C-Class 2007 Silver,Petrol,Automatic,Mercedes-Benz,C-Class,2007,Foreign Used,238472,2500
Abuja (FCT),2310000,Honda Accord 2010 Silver,Petrol,Automatic,Honda,Accord,2010,Nigerian Used,155342,2400
Lagos State,4515000,Toyota Camry 2010 Gold,Petrol,Automatic,Toyota,Camry,2010,Foreign Used,157160,2500
Oyo State,2400000,Toyota Corolla 2003 Blue,Petrol,Automatic,Toyota,Corolla,2003,Nigerian Used,296990,2500
Kwara State,2415000,Kia Sorento 2003 Silver,Petrol,Automatic,Kia,Sorento,2003,Nigerian Used,292751,3500
Lagos State,3952000,Mercedes-Benz M Class 2005 Silver,Petrol,Automatic,Mercedes-Benz,M Class,2005,Nigerian Used,161634,3700
Abuja (FCT),4368000,Toyota Avensis 2012 Black,Petrol,Automatic,Toyota,Avensis,2012,Nigerian Used,100924,1800
Abuja (FCT),2625000,Ford Focus 2014 Black,Petrol,Automatic,Ford,Focus,2014,Nigerian Used,104776,1600
Anambra State,1651125,Mercedes-Benz C240 2005 Black,Petrol,Automatic,Mercedes-Benz,C240,2005,Nigerian Used,25505,2600
Abuja (FCT),4200000,Peugeot 308 2013 Silver,Petrol,Manual,Peugeot,308,2013,Nigerian Used,116322,1600
Anambra State,1162000,Nissan Xterra Automatic 2003 Red,Petrol,Automatic,Nissan,Xterra,2003,Nigerian Used,208428,3300
Lagos State,2625000,Toyota Highlander 2003 Blue,Petrol,Automatic,Toyota,Highlander,2003,Nigerian Used,167266,3300
Lagos State,3360000,Toyota Camry 2010 Silver,Petrol,Automatic,Toyota,Camry,2010,Nigerian Used,199605,2500
Kwara State,1260000,Honda Accord 2003 Gray,Petrol,Automatic,Honda,Accord,2003,Nigerian Used,184903,2400
Lagos State,2625000,Toyota Corolla 2007 Gold,Petrol,Automatic,Toyota,Corolla,2007,Nigerian Used,341513,2000
Abuja (FCT),3024000,Toyota Corolla 2010 Green,Petrol,Automatic,Toyota,Corolla,2010,Nigerian Used,97836,1800
