state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Abuja (FCT),26000000,Lexus RX 350 2017 White,Petrol,Automatic,Lexus,RX 350,2017,Nigerian Used,79688,3500
Oyo State,3570000,Toyota RAV4 2008 Blue,Petrol,Automatic,Toyota,RAV4,2008,Nigerian Used,131292,2400
Oyo State,8840000,Lexus RX 2011 Brown,Petrol,Automatic,Lexus,RX,2011,Nigerian Used,182954,3500
Abuja (FCT),11025000,Toyota Highlander 2014 Blue,Petrol,Automatic,Toyota,Highlander,2014,Nigerian Used,106581,3500
Lagos State,4410000,Lexus GX 470 2004 Blue,Petrol,Automatic,Lexus,GX,2004,Nigerian Used,275399,4700
Lagos State,5512000,Mazda CX-9 2009 Black,Petrol,Automatic,Mazda,CX-9,2009,Foreign Used,160966,3700
Delta State,3120000,Toyota 4-Runner 2004 Black,Petrol,Automatic,Toyota,4-Runner,2004,Nigerian Used,248499,4000
Abuja (FCT),43365000,Lexus GX 2020 Black,Petrol,Automatic,Lexus,GX,2020,Foreign Used,22435,4600
Abuja (FCT),4160000,Lexus GS 2007 Silver,Petrol,Automatic,Lexus,GS,2007,Nigerian Used,280385,3500
Oyo State,5720000,Lexus RX 350 2008 Black,Petrol,Automatic,Lexus,RX 350,2008,Nigerian Used,85775,3500
Lagos State,2137500,Toyota Corolla 2004 Blue,Petrol,Automatic,Toyota,Corolla,2004,Nigerian Used,395493,1800
Imo State,3759000,Lexus ES 350 2009 Gray,Petrol,Automatic,Lexus,ES,2009,Nigerian Used,256372,3500
Lagos State,10500000,Land Rover Range Rover Evoque 2015 Blue,Petrol,Automatic,Land Rover,Range Rover Evoque,2015,Nigerian Used,14126,2000
Abuja (FCT),5200000,Acura MDX 2009 Black,Petrol,Automatic,Acura,MDX,2009,Nigerian Used,198899,3700
Abuja (FCT),8840000,Land Rover Range Rover Sport 2013 Black,Petrol,Automatic,Land Rover,Range Rover Sport,2013,Nigerian Used,183303,5000
Abuja (FCT),7800000,Toyota Camry 2016 Blue,Petrol,Automatic,Toyota,Camry,2016,Nigerian Used,46199,2500
Rivers State,3255000,Lexus RX 330 2004 Black,Petrol,Automatic,Lexus,RX 330,2004,Nigerian Used,216461,3300
Abuja (FCT),15225000,Ford Edge 2019 Black,Petrol,Automatic,Ford,Edge,2019,Nigerian Used,29986,2000
Rivers State,4162500,Acura MDX 2008 Silver,Petrol,Automatic,Acura,MDX,2008,Nigerian Used,256075,3700
Lagos State,11025000,Infiniti QX 2012 Black,Petrol,Automatic,Infiniti,QX,2012,Nigerian Used,326525,5600
